problem_id,pop8_l0_plus_l0b_correct_of_16,ncand,cache_miss,pass16_by_id,match
cf-00000,5,16,0,5,True
cf-00001,16,16,0,16,True
cf-00002,0,16,0,0,True
cf-00003,16,16,0,16,True
cf-00004,15,16,0,15,True
cf-00005,12,16,0,12,True
cf-00006,13,16,0,13,True
cf-00007,14,16,0,14,True
cf-00008,16,16,0,16,True
cf-00009,16,16,0,16,True
cf-00010,0,16,0,0,True
cf-00011,6,16,0,6,True
cf-00012,0,16,0,0,True
cf-00013,16,16,0,16,True
cf-00014,1,16,0,1,True
cf-00015,15,16,0,15,True
cf-00016,7,16,0,7,True
cf-00017,0,16,0,0,True
cf-00018,7,16,0,7,True
cf-00019,7,16,0,7,True
cf-00020,16,16,0,16,True
cf-00021,14,16,0,14,True
cf-00022,16,16,0,16,True
cf-00023,13,16,0,13,True
cf-00024,16,16,0,16,True
cf-00025,16,16,0,16,True
cf-00026,16,16,0,16,True
cf-00027,0,16,0,0,True
cf-00028,0,16,0,0,True
cf-00029,2,16,0,2,True
cf-00030,11,16,0,11,True
cf-00031,7,16,0,7,True
cf-00032,2,16,0,2,True
cf-00033,15,16,0,15,True
cf-00034,10,16,0,10,True
cf-00035,6,16,0,6,True
cf-00036,0,16,0,0,True
cf-00037,16,16,0,16,True
cf-00038,4,16,0,4,True
cf-00039,0,16,0,0,True
cf-00040,15,16,0,15,True
cf-00041,15,16,0,15,True
cf-00042,15,16,0,15,True
cf-00043,3,16,0,3,True
cf-00044,16,16,0,16,True
cf-00045,0,16,0,0,True
cf-00046,16,16,0,16,True
cf-00047,10,16,0,10,True
cf-00048,1,16,0,1,True
cf-00049,3,16,0,3,True
cf-00050,16,16,0,16,True
cf-00051,1,16,0,1,True
cf-00052,1,16,0,1,True
cf-00053,11,16,0,11,True
cf-00054,9,16,0,9,True
cf-00055,1,16,0,1,True
cf-00056,15,16,0,15,True
cf-00057,14,16,0,14,True
cf-00058,0,16,0,0,True
cf-00059,16,16,0,16,True
cf-00060,13,16,0,13,True
cf-00061,0,16,0,0,True
cf-00062,5,16,0,5,True
cf-00063,8,16,0,8,True
cf-00064,11,16,0,11,True
cf-00065,14,16,0,14,True
cf-00066,13,16,0,13,True
cf-00067,15,16,0,15,True
cf-00068,16,16,0,16,True
cf-00069,0,16,0,0,True
cf-00070,15,16,0,15,True
cf-00071,16,16,0,16,True
cf-00072,10,16,0,10,True
cf-00073,4,16,0,4,True
cf-00074,16,16,0,16,True
cf-00075,11,16,0,11,True
cf-00076,0,16,0,0,True
cf-00077,13,16,0,13,True
cf-00078,16,16,0,16,True
cf-00079,9,16,0,9,True
cf-00080,15,16,0,15,True
cf-00081,2,16,0,2,True
cf-00082,1,16,0,1,True
cf-00083,3,16,0,3,True
cf-00084,8,16,0,8,True
cf-00085,0,16,0,0,True
cf-00086,16,16,0,16,True
cf-00087,0,16,0,0,True
cf-00088,16,16,0,16,True
cf-00089,15,16,0,15,True
cf-00090,0,16,0,0,True
cf-00091,16,16,0,16,True
cf-00092,3,16,0,3,True
cf-00093,13,16,0,13,True
cf-00094,16,16,0,16,True
cf-00095,12,16,0,12,True
cf-00096,16,16,0,16,True
cf-00097,8,16,0,8,True
cf-00098,0,16,0,0,True
cf-00099,16,16,0,16,True
cf-00100,14,16,0,14,True
cf-00101,14,16,0,14,True
cf-00102,0,16,0,0,True
cf-00103,16,16,0,16,True
cf-00104,0,16,0,0,True
cf-00105,16,16,0,16,True
cf-00106,14,16,0,14,True
cf-00107,15,16,0,15,True
cf-00108,0,16,0,0,True
cf-00109,5,16,0,5,True
cf-00110,8,16,0,8,True
cf-00111,16,16,0,16,True
cf-00112,16,16,0,16,True
cf-00113,16,16,0,16,True
cf-00114,10,16,0,10,True
cf-00115,8,16,0,8,True
cf-00116,15,16,0,15,True
cf-00117,2,16,0,2,True
cf-00118,0,16,0,0,True
cf-00119,16,16,0,16,True
cf-00120,16,16,0,16,True
cf-00121,15,16,0,15,True
cf-00122,0,16,0,0,True
cf-00123,2,16,0,2,True
cf-00124,15,16,0,15,True
cf-00125,6,16,0,6,True
cf-00126,3,16,0,3,True
cf-00127,13,16,0,13,True
cf-00128,3,16,0,3,True
cf-00129,0,16,0,0,True
cf-00130,12,16,0,12,True
cf-00131,15,16,0,15,True
cf-00132,0,16,0,0,True
cf-00133,9,16,0,9,True
cf-00134,15,16,0,15,True
cf-00135,16,16,0,16,True
cf-00136,16,16,0,16,True
cf-00137,11,16,0,11,True
cf-00138,0,16,0,0,True
cf-00139,1,16,0,1,True
cf-00140,16,16,0,16,True
cf-00141,16,16,0,16,True
cf-00142,14,16,0,14,True
cf-00143,16,16,0,16,True
cf-00144,16,16,0,16,True
cf-00145,16,16,0,16,True
cf-00146,16,16,0,16,True
cf-00147,16,16,0,16,True
cf-00148,6,16,0,6,True
cf-00149,16,16,0,16,True
cf-00150,3,16,0,3,True
cf-00151,16,16,0,16,True
cf-00152,16,16,0,16,True
cf-00153,0,16,0,0,True
cf-00154,11,16,0,11,True
cf-00155,14,16,0,14,True
cf-00156,0,16,0,0,True
cf-00157,5,16,0,5,True
cf-00158,16,16,0,16,True
cf-00159,7,16,0,7,True
cf-00160,16,16,0,16,True
cf-00161,16,16,0,16,True
cf-00162,9,16,0,9,True
cf-00163,13,16,0,13,True
cf-00164,3,16,0,3,True
cf-00165,15,16,0,15,True
cf-00166,4,16,0,4,True
cf-00167,16,16,0,16,True
cf-00168,16,16,0,16,True
cf-00169,13,16,0,13,True
cf-00170,5,16,0,5,True
cf-00171,1,16,0,1,True
cf-00172,0,16,0,0,True
cf-00173,16,16,0,16,True
cf-00174,15,16,0,15,True
cf-00175,16,16,0,16,True
cf-00176,15,16,0,15,True
cf-00177,0,16,0,0,True
cf-00178,14,16,0,14,True
cf-00179,7,16,0,7,True
cf-00180,13,16,0,13,True
cf-00181,13,16,0,13,True
cf-00182,16,16,0,16,True
cf-00183,12,16,0,12,True
cf-00184,16,16,0,16,True
cf-00185,0,16,0,0,True
cf-00186,16,16,0,16,True
cf-00187,15,16,0,15,True
cf-00188,15,16,0,15,True
cf-00189,0,16,0,0,True
cf-00190,16,16,0,16,True
cf-00191,5,16,0,5,True
cf-00192,0,16,0,0,True
cf-00193,5,16,0,5,True
cf-00194,16,16,0,16,True
cf-00195,0,16,0,0,True
cf-00196,16,16,0,16,True
cf-00197,12,16,0,12,True
cf-00198,16,16,0,16,True
cf-00199,16,16,0,16,True
cf-00200,13,16,0,13,True
cf-00201,15,16,0,15,True
cf-00202,4,16,0,4,True
cf-00203,15,16,0,15,True
cf-00204,16,16,0,16,True
cf-00205,6,16,0,6,True
cf-00206,16,16,0,16,True
cf-00207,4,16,0,4,True
cf-00208,16,16,0,16,True
cf-00209,8,16,0,8,True
cf-00210,0,16,0,0,True
cf-00211,0,16,0,0,True
cf-00212,4,16,0,4,True
cf-00213,16,16,0,16,True
cf-00214,14,16,0,14,True
cf-00215,15,16,0,15,True
cf-00216,6,16,0,6,True
cf-00217,0,16,0,0,True
cf-00218,15,16,0,15,True
cf-00219,16,16,0,16,True
cf-00220,16,16,0,16,True
cf-00221,14,16,0,14,True
cf-00222,16,16,0,16,True
cf-00223,12,16,0,12,True
cf-00224,0,16,0,0,True
cf-00225,15,16,0,15,True
cf-00226,16,16,0,16,True
cf-00227,14,16,0,14,True
cf-00228,16,16,0,16,True
cf-00229,0,16,0,0,True
cf-00230,15,16,0,15,True
cf-00231,13,16,0,13,True
cf-00232,14,16,0,14,True
cf-00233,16,16,0,16,True
cf-00234,2,16,0,2,True
cf-00235,14,16,0,14,True
cf-00236,16,16,0,16,True
cf-00237,15,16,0,15,True
cf-00238,16,16,0,16,True
cf-00239,7,16,0,7,True
cf-00240,15,16,0,15,True
cf-00241,16,16,0,16,True
cf-00242,16,16,0,16,True
cf-00243,5,16,0,5,True
cf-00244,11,16,0,11,True
cf-00245,16,16,0,16,True
cf-00246,0,16,0,0,True
cf-00247,16,16,0,16,True
cf-00248,2,16,0,2,True
cf-00249,0,16,0,0,True
cf-00250,8,16,0,8,True
cf-00251,16,16,0,16,True
cf-00252,4,16,0,4,True
cf-00253,0,16,0,0,True
cf-00254,15,16,0,15,True
cf-00255,13,16,0,13,True
cf-00256,6,16,0,6,True
cf-00257,4,16,0,4,True
cf-00258,0,16,0,0,True
cf-00259,16,16,0,16,True
cf-00260,6,16,0,6,True
cf-00261,15,16,0,15,True
cf-00262,1,16,0,1,True
cf-00263,16,16,0,16,True
cf-00264,16,16,0,16,True
cf-00265,0,16,0,0,True
cf-00266,15,16,0,15,True
cf-00267,16,16,0,16,True
cf-00268,16,16,0,16,True
cf-00269,13,16,0,13,True
cf-00270,15,16,0,15,True
cf-00271,0,16,0,0,True
cf-00272,9,16,0,9,True
cf-00273,15,16,0,15,True
cf-00274,7,16,0,7,True
cf-00275,5,16,0,5,True
cf-00276,16,16,0,16,True
cf-00277,0,16,0,0,True
cf-00278,15,16,0,15,True
cf-00279,8,16,0,8,True
cf-00280,16,16,0,16,True
cf-00281,1,16,0,1,True
cf-00282,16,16,0,16,True
cf-00283,12,16,0,12,True
cf-00284,0,16,0,0,True
cf-00285,15,16,0,15,True
cf-00286,0,16,0,0,True
cf-00287,11,16,0,11,True
cf-00288,0,16,0,0,True
cf-00289,12,16,0,12,True
cf-00290,0,16,0,0,True
cf-00291,2,16,0,2,True
cf-00292,15,16,0,15,True
cf-00293,15,16,0,15,True
cf-00294,16,16,0,16,True
cf-00295,9,16,0,9,True
cf-00296,16,16,0,16,True
cf-00297,16,16,0,16,True
cf-00298,16,16,0,16,True
cf-00299,16,16,0,16,True
cf-00300,16,16,0,16,True
cf-00301,0,16,0,0,True
cf-00302,16,16,0,16,True
cf-00303,12,16,0,12,True
cf-00304,13,16,0,13,True
cf-00305,16,16,0,16,True
cf-00306,8,16,0,8,True
cf-00307,1,16,0,1,True
cf-00308,15,16,0,15,True
cf-00309,10,16,0,10,True
cf-00310,0,16,0,0,True
cf-00311,16,16,0,16,True
cf-00312,16,16,0,16,True
cf-00313,0,16,0,0,True
cf-00314,16,16,0,16,True
cf-00315,0,16,0,0,True
cf-00316,16,16,0,16,True
cf-00317,16,16,0,16,True
cf-00318,0,16,0,0,True
cf-00319,0,16,0,0,True
cf-00320,12,16,0,12,True
cf-00321,16,16,0,16,True
cf-00322,16,16,0,16,True
cf-00323,0,16,0,0,True
cf-00324,16,16,0,16,True
cf-00325,16,16,0,16,True
cf-00326,2,16,0,2,True
cf-00327,13,16,0,13,True
cf-00328,16,16,0,16,True
cf-00329,16,16,0,16,True
cf-00330,11,16,0,11,True
cf-00331,3,16,0,3,True
cf-00332,14,16,0,14,True
cf-00333,0,16,0,0,True
cf-00334,10,16,0,10,True
cf-00335,15,16,0,15,True
cf-00336,0,16,0,0,True
cf-00337,0,16,0,0,True
cf-00338,2,16,0,2,True
cf-00339,3,16,0,3,True
