split,problem_id,candidate_id,loop,source_model,correct_label,label_source,initial_bucket,pos_neg,source_file,leakage_risk,note
openthoughts114k-codeforces-nonsat1093,cf-00028,sh0::loop1::3,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00028,sh0::loop1::12,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00028,sh0::loop1::14,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00028,sh0::loop1::15,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00359,sh0::loop2::13,2,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop2.json,low(oracle-train-side-only),chain step 2/2 (first solved at loop2)
openthoughts114k-codeforces-nonsat1093,cf-00419,sh0::loop1::1,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00419,sh0::loop1::4,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00419,sh0::loop1::5,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00419,sh0::loop1::6,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00419,sh0::loop1::7,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00419,sh0::loop1::9,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00419,sh0::loop1::10,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00419,sh0::loop1::11,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00419,sh0::loop1::12,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00419,sh0::loop1::13,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00419,sh0::loop1::14,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00764,sh0::loop1::9,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0/ck/cf_se16_sh0_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00002,sh1::loop1::0,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1/ck/cf_se16_sh1_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
openthoughts114k-codeforces-nonsat1093,cf-00039,sh1::loop1::0,1,Qwen/Qwen3-4B,True,oracle,0,positive,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1/ck/cf_se16_sh1_loop1.json,low(oracle-train-side-only),chain step 1/1 (first solved at loop1)
