problem_id,frontier_definition,reference16_correct,se16_loop0_correct,loop1_correct,loop2_correct,loop3_correct_or_blank,first_solved_loop,initial_bucket_ref16,in_ref244,in_run243,source_ck_dir
cf-00002,ref244+run243,0,0,1,4,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00010,ref244+run243,0,0,0,1,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh1
cf-00012,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00017,ref244+run243,0,0,1,5,12,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-00027,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00028,ref244+run243,0,0,4,9,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00036,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00039,ref244+run243,0,0,3,4,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00045,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh4
cf-00058,ref244+run243,0,0,1,0,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00061,ref244+run243,0,0,0,1,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00069,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00076,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00085,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-00087,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00090,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00098,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00102,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00104,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh3
cf-00108,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00118,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00122,ref244_only,0,3,5,6,,0,0/16,True,False,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00129,ref244+run243,0,0,0,2,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00132,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00138,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh5
cf-00153,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00156,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00172,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00177,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00185,ref244+run243,0,0,1,3,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh3
